,month,bedrooms,number_of_reviews,review_scores_rating,neighborhood,num_comp,occ%,avg_price,neighborhood2
457,9,1,157,99,Williamsburg,1248,80.0,117,71
458,10,1,157,99,Williamsburg,1248,83.87,235,71
459,11,1,157,99,Williamsburg,1248,73.33,235,71
460,12,1,157,99,Williamsburg,1248,76.67,235,71
461,1,1,29,96,Williamsburg,1248,86.67,220,71
462,2,1,29,96,Williamsburg,1248,72.41,220,71
463,3,1,29,96,Williamsburg,1248,32.26,175,71
464,4,1,29,96,Williamsburg,1248,76.67,220,71
465,5,1,29,96,Williamsburg,1248,64.52,220,71
466,6,1,29,96,Williamsburg,1248,80.0,220,71
467,7,1,29,96,Williamsburg,1248,100.0,220,71
468,8,1,29,96,Williamsburg,1248,100.0,220,71
469,9,1,29,96,Williamsburg,1248,93.33,220,71
470,10,1,29,96,Williamsburg,1248,96.77,220,71
471,11,1,29,96,Williamsburg,1248,96.67,220,71
472,12,1,29,96,Williamsburg,1248,22.58,220,71
473,1,1,15,93,Williamsburg,1248,38.71,165,71
474,2,1,15,93,Williamsburg,1248,100.0,195,71
475,3,1,15,93,Williamsburg,1248,0.0,187,71
476,4,1,15,93,Williamsburg,1248,66.67,195,71
477,5,1,15,93,Williamsburg,1248,100.0,175,71
478,6,1,15,93,Williamsburg,1248,100.0,195,71
479,7,1,15,93,Williamsburg,1248,83.87,195,71
480,8,1,15,93,Williamsburg,1248,35.48,195,71
481,9,1,15,93,Williamsburg,1248,83.33,195,71
482,10,1,15,93,Williamsburg,1248,100.0,175,71
483,11,1,15,93,Williamsburg,1248,73.33,175,71
